Rank,Address,Name Tag,Balance,Percentage,Txn Count
1,0x00000000219ab540356cbb839cbe05303d7705fa,Eth2 Deposit Contract,"9,336,674.000069 Ether",7.90299798%,180270
2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,"7,742,605.53444452 Ether",6.55370380%,5773877
3,0xda9dfa130df4de4673b89022ee50ff26f6ea73cf,Kraken 13,"2,113,030.001 Ether",1.78856752%,64
4,0x73bceb1cd57c711feac4224d062b0f6ff338501e,,"2,003,504.57090949 Ether",1.69586006%,451
5,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance 7,"1,996,008.34195866 Ether",1.68951491%,1038
6,0x9bf4001d307dfd62b26a2f1307ee0c0307632d59,,"1,490,000.0180927 Ether",1.26120577%,103
7,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,Compound: cETH Token,"1,042,526.52652616 Ether",0.88244326%,264233
8,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,Gemini 3,"929,498.95358134 Ether",0.78677143%,336
9,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,Lido: Curve Liquidity Farming Pool Contract,"600,795.53050191 Ether",0.50854146%,28412
10,0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,,"560,000.000065 Ether",0.47401022%,187
11,0x07ee55aa48bb72dcc6e9d78256648910de513eca,Gemini: Contract 1,"552,741.11148462 Ether",0.46786595%,893
12,0x8484ef722627bf18ca5ae6bcf031c23e6e922b30,Polygon (Matic): Ether Bridge,"531,710.920048 Ether",0.45006502%,66
13,0x011b6e24ffb0b5f5fcc564cf4183c5bbbc96d515,Arbitrum: Bridge,"530,599.60713 Ether",0.44912435%,50
14,0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,Bitfinex: MultiSig 3,"500,020.76046368 Ether",0.42324098%,106
15,0xe92d1a43df510f82c66382592a047d288f85226f,,"450,000.05008572 Ether",0.38090111%,80
16,0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,"430,954.02097871 Ether",0.36477966%,7357
17,0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex 2,"399,082.21135279 Ether",0.33780187%,14154
18,0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f,Liquity: Active Pool,"399,047.25563182 Ether",0.33777228%,55
19,0x6262998ced04146fa42253a5c0af90ca02dfd2a3,Crypto.com,"366,371.91350137 Ether",0.31011434%,615092
20,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,EthDev,"353,318.43678314 Ether",0.29906527%,871
21,0xa929022c9107643515f5c777ce9a910f0d1e490c,HECO Chain: Bridge,"328,143.46267248 Ether",0.27775599%,16892
22,0x220866b1a2219f40e72f5c628b65d54268ca3a9d,Vb 3,"325,000.92154087 Ether",0.27509600%,77
23,0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca,,"325,000.48001707 Ether",0.27509562%,71
24,0x176f3dab24a159341c0509bb36b833e7fdd0a132,,"316,646.60486677 Ether",0.26802451%,103
25,0x3bfc20f0b9afcace800d73d2191166ff16540258,Polkadot: MultiSig,"306,276.63536139 Ether",0.25924688%,170
26,0x8103683202aa8da10536036edef04cdd865c225e,,"275,000.02741999 Ether",0.23277290%,31
27,0xa7efae728d2936e78bda97dc267687568dd593f3,OKEx 3,"274,939.46375678 Ether",0.23272163%,1165830
28,0x0a4c79ce84202b03e95b7a692e5d728d83c44c76,,"254,248.45391694 Ether",0.21520779%,34
29,0x7d24796f7ddb17d73e8b1d0a3bbd103fba2cb2fe,,"251,446.4809452 Ether",0.21283607%,57
30,0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,,"250,000.01704597 Ether",0.21161172%,37
31,0xbddf00563c9abd25b576017f08c46982012f12be,,"245,074.876299 Ether",0.20744285%,201
32,0x189b9cbd4aff470af2c0102f365fc1823d857965,,"230,640.11206311 Ether",0.19522459%,1132
33,0x9845e1909dca337944a0272f1f9f7249833d2d19,,"225,001.23327349 Ether",0.19045158%,31
34,0x0548f59fee79f8832c299e01dca5c76f034f558e,OTC: 0x054...58e,"216,605.84071247 Ether",0.18334532%,7424
35,0x59448fe20378357f206880c58068f095ae63d5a5,Bitfinex 9,"215,368.75591044 Ether",0.18229820%,28
36,0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d,,"207,949.35095159 Ether",0.17601807%,39
37,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,FTX Exchange,"207,106.04258589 Ether",0.17530425%,3446554
38,0x66f820a414680b5bcda5eeca5dea238543f42054,Bittrex 3,"206,099.66963639 Ether",0.17445241%,180
39,0x558553d54183a8542f7832742e7b4ba9c33aa1e6,Bithumb 12,"200,000.664584 Ether",0.16928993%,49
40,0x98ec059dc3adfbdd63429454aeb0c990fba4a128,OKEx 6,"200,000.10703597 Ether",0.16928945%,37
41,0xb29380ffc20696729b7ab8d093fa1e2ec14dfe2b,,"199,897.02040977 Ether",0.16920220%,13396
42,0xcdbf58a9a9b54a2c43800c50c7192946de858321,,"195,800.07853 Ether",0.16573435%,67
